Longitude,Latitude,U,V
-4.626519271155105884e+01,-2.408332547581114724e+01,-7.199999999999999734e-01,8.999999999999999667e-02
-4.626421141535553971e+01,-2.408332547581114724e+01,-7.199999999999999734e-01,8.999999999999999667e-02
-4.626323003456865024e+01,-2.408332547581114724e+01,-7.099999999999999645e-01,8.999999999999999667e-02
-4.626224866743226727e+01,-2.408332547581114724e+01,-7.099999999999999645e-01,8.000000000000000167e-02
-4.626126741218556049e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,8.000000000000000167e-02
-4.626028607234606227e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,8.000000000000000167e-02
-4.625930553206517715e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,7.000000000000000666e-02
-4.625832431775139497e+01,-2.408332547581114724e+01,-6.899999999999999467e-01,7.000000000000000666e-02
-4.625734301884339317e+01,-2.408332547581114724e+01,-6.899999999999999467e-01,7.000000000000000666e-02
-4.625636183181585892e+01,-2.408332547581114724e+01,-6.800000000000000488e-01,5.999999999999999778e-02
-4.625538056022429600e+01,-2.408332547581114724e+01,-6.700000000000000400e-01,5.999999999999999778e-02
-4.625439930224352736e+01,-2.408332547581114724e+01,-6.700000000000000400e-01,5.999999999999999778e-02
-4.625341815613770535e+01,-2.408332547581114724e+01,-6.600000000000000311e-01,5.999999999999999778e-02
-4.625243692546846574e+01,-2.408332547581114724e+01,-6.600000000000000311e-01,5.999999999999999778e-02
-4.640664879357746031e+01,-2.408242401826778689e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.640566542254432392e+01,-2.408242401826778689e+01,-5.500000000000000444e-01,7.000000000000000666e-02
-4.640468216372990895e+01,-2.408242401826778689e+01,-5.500000000000000444e-01,7.000000000000000666e-02
-4.640369882030412896e+01,-2.408242401826778689e+01,-5.600000000000000533e-01,7.000000000000000666e-02
-4.640271549068097556e+01,-2.408242401826778689e+01,-5.600000000000000533e-01,7.000000000000000666e-02
-4.640173227376693887e+01,-2.408242401826778689e+01,-5.600000000000000533e-01,7.000000000000000666e-02
-4.640074897173932555e+01,-2.408242401826778689e+01,-5.699999999999999512e-01,7.000000000000000666e-02
-4.639976578184795386e+01,-2.408242401826778689e+01,-5.699999999999999512e-01,7.000000000000000666e-02
-4.639878329410801427e+01,-2.408242401826778689e+01,-5.699999999999999512e-01,8.000000000000000167e-02
-4.639780003346813686e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,8.000000000000000167e-02
-4.639681688495894463e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,8.000000000000000167e-02
-4.639583365184153507e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,8.999999999999999667e-02
